locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
X:99883666-99894988,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.88717,5.65528,-0.479908,-0.803653,0.04475,0.420783,no
X:99839798-99854882,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.104624,0.0800202,-0.386771,0,1,1,no
20:49505584-49575092,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.8429,15.5879,0.396402,0.297233,0.46015,0.964509,no
1:169631244-169863408,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.79242,6.18613,0.0948728,0.123938,0.77195,0.999533,no
1:169631244-169863408,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.0362,2.73075,0.42342,0.22695,0.39735,0.945125,no
1:27938574-27961788,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.47929,0.4897,0.0310003,0.0271127,0.94515,0.999533,no
1:196621007-196716634,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.8682,4.42152,-1.42449,-1.86744,5.00E-05,0.00446402,yes
6:143771943-143832827,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.44014,4.04878,-0.669607,-0.601192,0.13145,0.692828,no
6:53362138-53481969,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.6119,10.8701,-0.0952315,-0.112618,0.7391,0.999533,no
6:40994771-41067715,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.28096,7.24266,0.205534,0.228264,0.57655,0.988403,no
1:24634045-24799466,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.28186,9.24259,-0.00611772,-0.00395987,0.98965,0.999533,no
1:24634045-24799466,AMD Peripheral Retina,Normal Peripheral Retina,OK,25.7408,26.8759,0.0622611,0.105055,0.7846,0.999533,no
X:64732461-64754655,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.16706,8.13495,0.39955,0.540923,0.10315,0.623461,no
6:46097729-46114436,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.5022,12.304,-0.0230545,-0.051855,0.90065,0.999533,no
3:49977439-50226508,AMD Peripheral Retina,Normal Peripheral Retina,OK,22.6196,23.0981,0.0302031,0.0272034,0.9365,0.999533,no
7:117105837-117514193,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0323849,0.0422108,0.38229,0,1,1,no
7:91875547-92030698,AMD Peripheral Retina,Normal Peripheral Retina,OK,68.1142,74.0652,0.12084,0.172663,0.6787,0.999533,no
7:91741464-91810039,AMD Peripheral Retina,Normal Peripheral Retina,OK,38.2394,35.9421,-0.0893869,-0.202799,0.60805,0.993264,no
7:91828282-91875480,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.4773,21.239,0.200956,0.309918,0.3295,0.913759,no
12:1021242-1605099,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.66034,3.49459,0.393512,0.133478,0.4037,0.94817,no
7:98836416-98908753,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.011507,0.0209251,0.862716,0,1,1,no
11:64037301-64056972,AMD Peripheral Retina,Normal Peripheral Retina,OK,45.5187,48.8559,0.102073,0.182242,0.64045,0.999533,no
