GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000239884.2,6345.332986,-2.499320385,0.166184275,-15.03945177,4.05E-51,1.32E-46
ENSG00000136149.6,706.0001792,-1.766928379,0.128565649,-13.74339404,5.58E-43,9.09E-39
ENSG00000147127.4,554.1064149,2.357361505,0.192637571,12.23728836,1.96E-34,2.13E-30
ENSG00000201901.1,3307.79629,-2.047973312,0.17135649,-11.95153631,6.37E-33,5.19E-29
ENSG00000206646.1,362.4608174,-3.193211397,0.268438373,-11.89551019,1.25E-32,8.14E-29
ENSG00000200702.1,914.6122439,-3.042554761,0.259575938,-11.72125114,9.92E-32,5.39E-28
ENSG00000186301.7,301.1358212,2.962300038,0.254653285,11.63267944,2.81E-31,1.31E-27
ENSG00000202407.1,2338.224307,-2.985595756,0.260336765,-11.46820641,1.91E-30,7.76E-27
ENSG00000207142.1,7686.272487,-2.99343739,0.267208943,-11.20260929,3.96E-29,1.43E-25
ENSG00000225067.3,338.2832938,-1.778247753,0.160520662,-11.07799912,1.60E-28,5.23E-25
ENSG00000224291.1,100.0144342,-2.438586068,0.220830764,-11.04278237,2.38E-28,7.04E-25
ENSG00000268884.1,113.5682486,-2.339453181,0.216023279,-10.8296346,2.49E-27,6.77E-24
ENSG00000235776.2,609.5355511,-1.353998338,0.126168168,-10.73169531,7.23E-27,1.81E-23
ENSG00000230076.1,145.6783422,-2.284081698,0.21583497,-10.58253764,3.59E-26,8.36E-23
ENSG00000243167.1,69.33678902,-2.402461098,0.230119857,-10.44004257,1.63E-25,3.54E-22
ENSG00000207442.1,84.05955729,-2.431761408,0.235343253,-10.33282822,5.01E-25,1.02E-21
ENSG00000200091.1,98.39644587,-2.858898607,0.283792084,-10.07391949,7.20E-24,1.38E-20
ENSG00000188599.13,280.0037071,1.425555787,0.142208128,10.02443256,1.19E-23,2.16E-20
ENSG00000207063.1,122.9853747,-2.256699301,0.225366078,-10.0134826,1.33E-23,2.28E-20
ENSG00000202469.1,342.0843946,-2.580754432,0.26068107,-9.90004542,4.16E-23,6.78E-20
ENSG00000244056.2,11.72657573,-4.03931287,0.417510925,-9.674747717,3.86E-22,5.99E-19
ENSG00000207093.1,283.315701,-2.20313659,0.228198239,-9.654485499,4.71E-22,6.97E-19
ENSG00000265401.1,296.9281162,-3.978275219,0.412781426,-9.637728271,5.54E-22,7.85E-19
