GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000200091.1,82.39734964,-2.836882731,0.245659073,-11.54804786,7.55E-31,2.50E-26
ENSG00000136149.6,1051.530345,-1.9971752,0.183207829,-10.9011455,1.14E-27,1.88E-23
ENSG00000244056.2,14.05886471,-4.394715981,0.461374239,-9.525273874,1.65E-21,1.82E-17
ENSG00000237749.3,92.24224588,-2.468683484,0.268149552,-9.206368106,3.37E-20,2.79E-16
ENSG00000265401.1,185.5939053,-3.562923414,0.395301249,-9.01318531,2.00E-19,1.33E-15
ENSG00000269968.1,228.7279438,-3.241455192,0.370123068,-8.757776724,1.99E-18,1.10E-14
ENSG00000207061.1,28.10727102,-3.682886339,0.435365777,-8.459292247,2.69E-17,1.27E-13
ENSG00000269888.1,66.87304786,-3.95868221,0.490659896,-8.068077795,7.14E-16,2.96E-12
ENSG00000182993.3,420.873757,-1.165476252,0.144915867,-8.042433697,8.81E-16,3.24E-12
ENSG00000262211.1,54.45193799,-2.947023447,0.367347979,-8.02242999,1.04E-15,3.43E-12
ENSG00000177807.6,112.1017811,-2.638717879,0.331248451,-7.965978022,1.64E-15,4.93E-12
ENSG00000261460.1,45.47289237,-2.288483063,0.291697956,-7.845386009,4.32E-15,1.19E-11
ENSG00000139767.4,43.20776788,-3.080864947,0.394646356,-7.806647392,5.87E-15,1.30E-11
ENSG00000162004.12,124.8468252,2.044358432,0.261365196,7.821846449,5.21E-15,1.30E-11
ENSG00000234961.1,242.5160323,-3.541413344,0.453245684,-7.813451885,5.56E-15,1.30E-11
ENSG00000241739.1,21.35542397,-2.596655892,0.33670898,-7.711870028,1.24E-14,2.57E-11
ENSG00000254741.1,116.5774882,-2.428019472,0.320442165,-7.577091078,3.53E-14,6.88E-11
ENSG00000230076.1,306.3770135,-1.947099386,0.257763926,-7.553808699,4.23E-14,7.77E-11
ENSG00000228399.1,174.2190377,-2.140232172,0.283747051,-7.54274684,4.60E-14,8.02E-11
ENSG00000210100.1,53.75998587,-1.59395296,0.211720902,-7.528557368,5.13E-14,8.49E-11
ENSG00000235027.1,105.1351265,-2.893853097,0.385938957,-7.498214533,6.47E-14,1.02E-10
ENSG00000242527.1,115.6961762,-1.983619988,0.279966256,-7.085210971,1.39E-12,2.00E-09
ENSG00000268884.1,157.5998229,-1.971788766,0.278059914,-7.091237064,1.33E-12,2.00E-09
ENSG00000119614.2,214.8875055,-3.360212534,0.478043933,-7.029087285,2.08E-12,2.87E-09
ENSG00000239884.2,5226.619479,-2.246591261,0.323877371,-6.936549016,4.02E-12,5.32E-09
ENSG00000220548.3,150.1229126,-1.575016034,0.230131174,-6.843992518,7.70E-12,9.81E-09
ENSG00000243167.1,114.8191374,-1.816312702,0.265878711,-6.831358171,8.41E-12,1.03E-08
ENSG00000095777.10,259.1003658,-3.3713225,0.496772467,-6.786451992,1.15E-11,1.31E-08
ENSG00000245970.2,83.99605072,-2.716040911,0.400150036,-6.787556328,1.14E-11,1.31E-08
ENSG00000200702.1,93.67261289,-2.619755845,0.387068476,-6.768197387,1.30E-11,1.44E-08
ENSG00000227766.1,175.4487147,-1.975588584,0.293701251,-6.726524236,1.74E-11,1.86E-08
ENSG00000264577.1,44.46507265,-3.090932301,0.462033152,-6.68984961,2.23E-11,2.31E-08
ENSG00000240151.2,5.233002432,-3.355900656,0.502437333,-6.679242239,2.40E-11,2.41E-08
ENSG00000221792.1,53.09648858,-3.036889106,0.455334212,-6.669582528,2.57E-11,2.50E-08
