locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
X:99883666-99894988,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,17.5024,15.6635,-0.160154,-0.247785,0.52745,0.999983,no
X:99839798-99854882,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.488967,0.554058,0.180302,0.104656,0.78595,0.999983,no
20:49505584-49575092,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,17.0294,19.2613,0.177677,0.119721,0.7618,0.999983,no
1:169631244-169863408,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,4.45457,4.6129,0.0503903,0.0344838,0.937,0.999983,no
1:169631244-169863408,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.70292,1.49305,-0.189748,-0.0688658,0.77505,0.999983,no
1:27938574-27961788,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,4.77704,7.43474,0.638165,0.710785,0.0735,0.999983,no
1:196621007-196716634,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,265.429,220.375,-0.268365,-0.324857,0.3822,0.999983,no
6:143771943-143832827,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,35.3158,32.1407,-0.135916,-0.194245,0.64395,0.999983,no
6:53362138-53481969,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,17.4104,14.6826,-0.245842,-0.231532,0.4539,0.999983,no
6:40994771-41067715,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,4.68565,4.40907,-0.0877749,-0.0797917,0.8506,0.999983,no
1:24634045-24799466,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.35444,2.56467,-0.3873,-0.19792,0.6041,0.999983,no
1:24634045-24799466,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.41712,7.48532,0.0132065,0.0153061,0.96855,0.999983,no
X:64732461-64754655,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,9.077,9.08293,0.000942041,0.00106751,0.99795,0.999983,no
6:46097729-46114436,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,19.5332,21.5767,0.143548,0.2273,0.57855,0.999983,no
3:49977439-50226508,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.6268,6.86968,0.287929,0.12579,0.69055,0.999983,no
7:117105837-117514193,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.0552076,0.0703908,0.350519,0,1,1,no
7:91875547-92030698,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,38.7523,33.9307,-0.191691,-0.157371,0.7079,0.999983,no
7:91741464-91810039,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,44.2075,50.1904,0.18312,0.25514,0.4974,0.999983,no
7:91828282-91875480,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,16.899,19.415,0.200238,0.217995,0.44895,0.999983,no
12:1021242-1605099,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.46537,3.60275,0.0560872,0.0136452,0.90545,0.999983,no
7:98836416-98908753,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.0275366,0.16072,2.54512,0.661138,0.0015,0.125388,no
11:64037301-64056972,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,39.0047,35.6244,-0.130782,-0.168558,0.6582,0.999983,no
4:17578814-17616194,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,59.2619,77.91,0.394704,0.583399,0.1319,0.999983,no
X:2609219-2659350,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.94074,3.39072,-0.216876,-0.19425,0.6554,0.999983,no
4:11394773-11431389,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.04916,0.722486,-0.538194,-0.212031,0.38265,0.999983,no
7:150521714-150558592,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.066529,0.0538191,-0.305866,0,1,1,no
7:120965420-120981158,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.117751,0.119898,0.0260619,0.0142191,0.96825,0.999983,no
7:43152197-43605600,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.174462,0.128096,-0.44569,-0.135851,0.4357,0.999983,no
7:1855428-2272878,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.09944,8.60948,0.27822,0.220113,0.44315,0.999983,no
17:37026111-37078023,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,23.3455,22.0625,-0.0815494,-0.13467,0.74125,0.999983,no
17:46180718-46200436,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,8.70683,8.63845,-0.0113753,-0.0141371,0.96925,0.999983,no
7:150488372-150502208,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,78.7377,43.5318,-0.854985,-0.823959,0.0396,0.793591,no
12:9066491-9102551,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,55.9664,59.6736,0.0925321,0.101431,0.79295,0.999983,no
X:117031775-117251303,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.13224,3.88918,-0.400121,-0.427752,0.24495,0.999983,no
2:72356366-72375167,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.49832,2.96861,-1.13028,-1.1426,0.0004,0.0485588,yes
7:8152813-8384146,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.60411,4.00238,0.151217,0.11789,0.7352,0.999983,no
16:90071272-90114181,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.09912,0.883366,-0.315263,-0.133149,0.8097,0.999983,no
2:202565276-202645912,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.06047,7.33508,0.0550499,0.0571941,0.8619,0.999983,no
2:202047603-202094129,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.80616,2.35269,-0.254289,-0.226669,0.4095,0.999983,no
2:201980826-202041410,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,48.4804,54.0563,0.157063,0.154517,0.61095,0.999983,no
2:187866602-188430487,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,32.4645,24.607,-0.399794,-0.309962,0.43155,0.999983,no
2:37394962-37551951,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.18236,7.42127,0.263508,0.0935863,0.7146,0.999983,no
3:49977439-50226508,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,33.0274,41.3166,0.323058,0.221059,0.3437,0.999983,no
