GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000071794.11,1459.091027,-6.30244778,0.335652269,-18.77671736,1.17E-78,2.19E-74
ENSG00000165512.4,1061.000223,-6.682653366,0.360478237,-18.53829909,1.01E-76,9.49E-73
ENSG00000096433.6,580.161223,-5.95196258,0.379577035,-15.68051286,2.06E-55,1.28E-51
ENSG00000165029.11,626.4807608,-4.972917257,0.356701049,-13.94141474,3.55E-44,1.66E-40
ENSG00000162639.11,314.9855466,-5.382716946,0.403998966,-13.32359089,1.69E-40,6.32E-37
ENSG00000137948.14,629.3152057,-4.777176756,0.366397365,-13.03823993,7.41E-39,2.31E-35
ENSG00000215386.6,398.4913007,-5.056097671,0.391255705,-12.92274493,3.35E-38,8.96E-35
ENSG00000085831.11,800.4955207,-4.320593867,0.361585858,-11.94901229,6.57E-33,1.54E-29
ENSG00000121060.10,245.441541,-4.493323935,0.407934339,-11.01482152,3.24E-28,6.07E-25
ENSG00000204308.6,362.466805,-4.337246311,0.393508279,-11.02199508,2.99E-28,6.07E-25
ENSG00000258168.1,403.0865216,-4.154045423,0.37893016,-10.96256212,5.78E-28,9.85E-25
ENSG00000131914.6,32811.37947,-3.304428608,0.307536196,-10.74484452,6.27E-27,9.78E-24
ENSG00000173530.5,391.2221354,-4.025442837,0.377722428,-10.65714541,1.61E-26,2.33E-23
ENSG00000100422.9,209.518676,-4.396335613,0.413910071,-10.62147533,2.37E-26,3.17E-23
ENSG00000134330.14,239.6562738,-4.085431122,0.401757657,-10.16889423,2.73E-24,3.41E-21
ENSG00000169981.6,150.800075,-3.977489,0.421807264,-9.429636089,4.12E-21,4.82E-18
ENSG00000117289.7,392.1827083,-3.687856918,0.393475983,-9.3725083,7.08E-21,7.80E-18
ENSG00000109113.13,337.6381751,-3.572064635,0.38287681,-9.329540304,1.06E-20,1.11E-17
ENSG00000177842.7,137.1403158,-3.930054633,0.424202685,-9.264568031,1.96E-20,1.93E-17
ENSG00000115935.12,1667.725343,2.781012223,0.308005026,9.029113123,1.73E-19,1.62E-16
ENSG00000197061.3,661.4198887,-3.014246287,0.339017606,-8.891120209,6.05E-19,5.39E-16
ENSG00000168077.9,318.4921044,-3.409003514,0.386081344,-8.829754565,1.05E-18,8.93E-16
ENSG00000049246.10,434.5392395,-3.506574492,0.403324144,-8.694184428,3.49E-18,2.84E-15
ENSG00000142182.4,4293.44481,-3.010590187,0.348742574,-8.632700484,5.99E-18,4.68E-15
ENSG00000260027.3,108.9989679,-3.586186764,0.426299005,-8.412374223,4.02E-17,2.89E-14
ENSG00000263753.2,108.9989679,-3.586186764,0.426299005,-8.412374223,4.02E-17,2.89E-14
ENSG00000205413.3,1965.126637,2.50291682,0.322446147,7.762278572,8.34E-15,5.79E-12
ENSG00000104998.2,96.072716,-3.277537692,0.426266379,-7.688942541,1.48E-14,9.92E-12
ENSG00000248632.1,89.23711539,-3.217003077,0.425746487,-7.556147084,4.15E-14,2.68E-11
ENSG00000172888.7,113.8739928,-3.196360709,0.426072464,-7.501918052,6.29E-14,3.93E-11
ENSG00000168824.10,207.8663609,-3.072496699,0.414106794,-7.419575689,1.17E-13,7.10E-11
ENSG00000100167.15,435.2819079,2.780079165,0.377344886,7.3674754,1.74E-13,1.02E-10
ENSG00000187049.5,122.9869954,-3.09572283,0.42555383,-7.274574009,3.48E-13,1.97E-10
